ResponseId,DatabaseWantToWorkWith
695,PostgreSQL
695,SQLite
697,MongoDB
697,PostgreSQL
697,Redis
698,Cosmos DB
698,Couch DB
698,Dynamodb
698,Elasticsearch
699,Elasticsearch
699,PostgreSQL
699,Redis
699,Snowflake
700,PostgreSQL
700,Redis
701,Clickhouse
701,Cosmos DB
701,Dynamodb
701,PostgreSQL
701,Snowflake
703,PostgreSQL
704,PostgreSQL
705,Cloud Firestore
705,Firebase Realtime Database
705,MySQL
705,SQLite
706,InfluxDB
709,DuckDB
709,PostgreSQL
709,SQLite
711,MongoDB
712,PostgreSQL
712,SQLite
714,MySQL
715,Databricks SQL
715,Microsoft SQL Server
717,MySQL
718,MySQL
719,MySQL
719,PostgreSQL
719,Redis
720,Firebird
720,SQLite
721,Microsoft SQL Server
723,Cassandra
723,Cockroachdb
723,Cosmos DB
723,Dynamodb
723,Elasticsearch
723,Firebase Realtime Database
723,MariaDB
723,Microsoft SQL Server
723,MongoDB
723,MySQL
723,Oracle
723,PostgreSQL
723,Redis
723,SQLite
723,Supabase
726,Microsoft SQL Server
727,PostgreSQL
728,InfluxDB
728,SQLite
729,MariaDB
729,MySQL
730,MariaDB
730,Microsoft SQL Server
730,MySQL
730,PostgreSQL
731,Cloud Firestore
731,PostgreSQL
731,SQLite
732,Microsoft Access
732,Microsoft SQL Server
732,MongoDB
732,SQLite
735,Cloud Firestore
735,Firebase Realtime Database
736,MariaDB
737,Microsoft SQL Server
738,MongoDB
738,PostgreSQL
739,Microsoft SQL Server
739,MySQL
739,Redis
741,Microsoft SQL Server
741,RavenDB
742,Dynamodb
744,MongoDB
744,SQLite
745,Clickhouse
745,Cockroachdb
745,PostgreSQL
745,SQLite
746,BigQuery
746,Firebird
746,MySQL
746,Snowflake
747,MongoDB
747,Redis
749,BigQuery
749,Databricks SQL
749,PostgreSQL
750,Elasticsearch
750,Neo4J
750,SQLite
751,PostgreSQL
752,Cockroachdb
752,Dynamodb
752,PostgreSQL
752,Redis
753,Cassandra
753,InfluxDB
753,Redis
754,SQLite
756,Dynamodb
756,MySQL
758,SQLite
760,PostgreSQL
761,Cockroachdb
761,Microsoft SQL Server
761,MongoDB
761,MySQL
762,BigQuery
762,PostgreSQL
763,Cosmos DB
763,InfluxDB
763,Microsoft SQL Server
763,MySQL
763,PostgreSQL
763,Redis
763,SQLite
764,InfluxDB
764,Oracle
765,PostgreSQL
767,MySQL
767,Redis
770,Cosmos DB
770,Microsoft SQL Server
770,MongoDB
770,PostgreSQL
770,SQLite
772,Cassandra
772,Cloud Firestore
772,Elasticsearch
772,Firebase Realtime Database
772,MariaDB
772,Microsoft SQL Server
772,MongoDB
772,MySQL
772,Neo4J
772,Oracle
772,PostgreSQL
772,Redis
772,SQLite
773,MongoDB
773,PostgreSQL
774,PostgreSQL
774,Redis
775,Cloud Firestore
775,MariaDB
775,SQLite
779,Cosmos DB
779,Microsoft SQL Server
779,MongoDB
